0	A dog whistle manufacturer's factory was located near a residential area. The manufacturer used the most effective methods for testing its whistles, but it was impossible to completely soundproof the testing area. A breeder of champion show dogs bought some property near the factory and raised and trained her dogs there. Although the whistles were too high-pitched to be perceived by human ears, they could be heard by the breeder's dogs. Consequently, the dogs often were in a constant state of agitation. In a suit by the breeder against the manufacturer, the breeder will:
1	Sand Company operated an installation for distributing sand and gravel. The installation was adjacent to a residential area. On Sand's grounds there was a chute with polished metal sides for loading sand and gravel into trucks. The trucks being loaded stopped on the public street below the chute. After closing hours, a plywood screen was placed in the chute and the ladder used for inspection was removed to another section of the installation. For several months, however, a number of children, 8 to 10 years of age, had been playing on Sand's property and the adjoining street after closing hours. The children found the ladder and also discovered that they could remove the plywood screen from the chute and slide down to the street below. Sand knew of this activity. One evening, the children were using the chute as a play device. As an automobile driven by Commuter approached the chute, Ladd, an 8-year-old boy, slid down just in front of the automobile. Commuter applied her brakes, but they suddenly failed, and she hit and injured Ladd. Commuter saw the child in time to have avoided hitting him if her brakes had worked properly. Two days previously, Commuter had taken her car to Garage to have her brakes inspected. Garage inspected the brakes and told her that the brakes were in perfect working order. Claims were asserted on behalf of Ladd by his proper legal representative against Sand, Commuter, and Garage. On Ladd's claim against Sand, will Ladd prevail?
2	Rohan executed and delivered a promissory note and a mortgage securing the note to Acme Mortgage Company, which was named as payee in the note and as mortgagee in the mortgage. The note included a statement that the indebtedness evidenced by the note was "subject to the terms of a contract between the maker and the payee of the note executed on the same day" and that the note was "secured by a mortgage of even date." The mortgage was promptly and properly recorded. Subsequently, Acme sold the Rohan note and mortgage to XYZ Bank and delivered to XYZ Bank a written assignment of the Rohan note and mortgage. The assignment was promptly and properly recorded. Acme retained possession of both the note and the mortgage in order to act as collecting agent. Later, being short of funds, Acme sold the note and mortgage to Peterson at a substantial discount. Acme executed a written assignment of the note and mortgage to Peterson and delivered to him the note, the mortgage, and the assignment. Peterson paid value for the assignment without actual knowledge of the prior assignment to XYZ Bank and promptly and properly recorded his assignment. The principal of the note was not then due, and there had been no default in payment of either interest or principal. If the issue of ownership of the Rohan note and mortgage is subsequently raised in an appropriate action by XYZ Bank to foreclose, the court should hold that
3	An ordinance of a city prohibits leafleting on the grounds of any hospital or on the sidewalks within five feet of the hospital entrances during visiting hours. A member of a religious group advocating prayer to restore the sick to good health is arrested for violating the ordinance, is fined $100, and is convicted. She appeals her conviction, claiming that her constitutional rights were violated. The case was heard by the state supreme court, which ruled that while the ordinance was permissible under the United States Constitution, it was unconstitutional under the state constitution because the fine money was designated to go to the city's only hospital, which was privately owned, rather than to the city. The city seeks to bring the case before the United States Supreme Court. Should the United States Supreme Court grant certiorari?
4	The police arrested the defendant and charged him with murder. After the defendant's arrest, two police officers went to his home, where they found his wife. The victim had been killed on the night of March 13, and the officers asked the wife to give them the jacket that the defendant wore on the evening of March 13. Without saying a word, the wife handed the officers a jacket that was covered with bloodstains. Crime lab tests established that the blood on the jacket matched the victim's blood characteristics.'At the defendant's trial for murder, the prosecution seeks to introduce the jacket into evidence. Assuming the prosecution successfully establishes a foundation, if the defense objects to the jacket's admissibility, the court should rule that the jacket is:
5	Acting pursuant to a valid search warrant, the police entered and searched the defendant's garage and discovered a cardboard box containing cocaine in the rafters storage area. The box was securely taped and bore a freight label addressed to the defendant's friend. At his trial for violation of the jurisdiction's statute making it a felony to knowingly possess cocaine, the defendant testified that his friend had brought him the package a week before it was seized by the police, telling him that he needed to store it in the defendant's garage. The defendant also testified that he had not asked the friend what it contained. What additional facts must the prosecution prove to establish the defendant's liability for the charged felony?
6	A seller entered into a contract to sell his land to a buyer for $100,000, with the closing to take place in 30 days. The following week, the seller died in an automobile accident. His will left his personal property to his son and his real property to his sister. At closing, who is entitled to the proceeds of the sale?
7	Poe ordered some merchandise from Store. When the merchandise was delivered, Poe decided that it was not what he had ordered, and he returned it for credit. Store refused to credit Poe's account, continued to bill him, and, after 90 days, turned the account over to Kane, a bill collector, for collection. Kane called at Poe's house at 7 p.m. on a summer evening while many of Poe's neighbors were seated on their porches. When Poe opened the door, Kane, who was standing just outside the door, raised an electrically amplified bullhorn to his mouth. In a voice that could be heard a block away, Kane called Poe a "deadbeat" and asked him when he intended to pay his bill to Store. Poe, greatly angered, slammed the door shut. The door struck the bullhorn and jammed it forcibly against Kane's face. As a consequence, Kane lost his front teeth. If Poe asserts a claim based on intentional infliction of emotional distress against Kane, will Poe prevail?
8	A businessman agreed with an accountant to lease to the accountant a small business computer system. Their oral agreement included that the lease would be for a term of five years, and that the accountant would pay a monthly charge of $500 for the system. The businessman and the accountant further agreed that $200 of the monthly charge would be paid by the accountant directly to a third party, in satisfaction of a debt the businessman owed the third party. The businessman prepared a written copy of the agreement on his computer, but accidentally did not include the agreement that called for the direct payment to the third party in the written copy. The businessman sent the copy of the written agreement, signed by him, to the accountant, who also signed it without noticing that the provision calling for the direct payment to the third party was missing. If the accountant refused to make any payments to the third party, and the latter brings an action against the accountant for damages as a consequence, which of the following, if true, would be most harmful to the third party?
9	A city zoning board recently denied a request from the local library for a variance needed to expand the library building. In order to put pressure on the board to change their vote, a library patron went to the library, stood next to the front door, and handed each person entering the library a leaflet asking the person to contact each city zoning board member named in the leaflet and threaten to vote each member out of office unless the member changed his or her vote regarding the library's request for a zoning variance. The head librarian noticed the patron handing out the leaflets and asked her to stop, correctly explaining that the distribution was in violation of a city ordinance. The patron refused to comply, and the head librarian summoned the police. When an officer arrived, the librarian again asked the patron to stop distributing leaflets, but the patron again refused. The officer then arrested the patron for violating a city ordinance. At trial, the patron defended against the charges by claiming a violation of her First Amendment rights. Which of the following variations of fact would be most helpful to the patron's First Amendment claim?
